Site name,File granularity,URL template,Outfile template,Overwrite Policy,Max history,Ignore?,Source
Gelantipy,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3031.%Y%m.csv,bom daily/Gelantipy/IDCJDW3031.%Y%m.csv,Refresh current month,15m,,
Haines Saddle,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3025.%Y%m.csv,bom daily/Haines Saddle/IDCJDW3025.%Y%m.csv,Refresh current month,15m,,
Hamilton,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3032.%Y%m.csv,bom daily/Hamilton/IDCJDW3032.%Y%m.csv,Refresh current month,15m,,
Hogan Island,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3088.%Y%m.csv,bom daily/Hogan Island/IDCJDW3088.%Y%m.csv,Refresh current month,15m,,
Hopetoun,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3090.%Y%m.csv,bom daily/Hopetoun/IDCJDW3090.%Y%m.csv,Refresh current month,15m,,
Horsham,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3035.%Y%m.csv,bom daily/Horsham/IDCJDW3035.%Y%m.csv,Refresh current month,15m,,
Hunters Hill,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3036.%Y%m.csv,bom daily/Hunters Hill/IDCJDW3036.%Y%m.csv,Refresh current month,15m,,
Kanagulk,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3091.%Y%m.csv,bom daily/Kanagulk/IDCJDW3091.%Y%m.csv,Refresh current month,15m,,
Kerang,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3037.%Y%m.csv,bom daily/Kerang/IDCJDW3037.%Y%m.csv,Refresh current month,15m,,
Kilmore Gap,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3038.%Y%m.csv,bom daily/Kilmore Gap/IDCJDW3038.%Y%m.csv,Refresh current month,15m,,
Kyabram,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3039.%Y%m.csv,bom daily/Kyabram/IDCJDW3039.%Y%m.csv,Refresh current month,15m,,
Lake Eildon,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3040.%Y%m.csv,bom daily/Lake Eildon/IDCJDW3040.%Y%m.csv,Refresh current month,15m,,
Lakes Entrance,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3041.%Y%m.csv,bom daily/Lakes Entrance/IDCJDW3041.%Y%m.csv,Refresh current month,15m,,
Latrobe Valley,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3042.%Y%m.csv,bom daily/Latrobe Valley/IDCJDW3042.%Y%m.csv,Refresh current month,15m,,
Laverton,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3043.%Y%m.csv,bom daily/Laverton/IDCJDW3043.%Y%m.csv,Refresh current month,15m,,
Longerenong,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3044.%Y%m.csv,bom daily/Longerenong/IDCJDW3044.%Y%m.csv,Refresh current month,15m,,
Mallacoota,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3046.%Y%m.csv,bom daily/Mallacoota/IDCJDW3046.%Y%m.csv,Refresh current month,15m,,
Mangalore,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3047.%Y%m.csv,bom daily/Mangalore/IDCJDW3047.%Y%m.csv,Refresh current month,15m,,
Maryborough,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3048.%Y%m.csv,bom daily/Maryborough/IDCJDW3048.%Y%m.csv,Refresh current month,15m,,
Melbourne Airport,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3049.%Y%m.csv,bom daily/Melbourne Airport/IDCJDW3049.%Y%m.csv,Refresh current month,15m,,
Melbourne Olympic Park,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3033.%Y%m.csv,bom daily/Melbourne Olympic Park/IDCJDW3033.%Y%m.csv,Refresh current month,15m,,
